mysql: [Warning] Using a password on the command line interface can be insecure.
migration_name	started_at	finished_at
20260808003102_init	2026-09-15 07:40:21.183	2026-09-15 07:40:22.917
20260808041438_add_mcp_servers	2026-09-15 07:40:22.920	2026-09-15 07:40:22.945
20260808041646_add_skill_content	2026-09-15 07:40:22.947	2026-09-15 07:40:22.983
20260808071700_skill_content_text	2026-09-15 07:40:22.985	2026-09-15 07:40:23.029
20260808145108_add_models_catalog	2026-09-15 07:40:23.030	2026-09-15 07:40:23.213
20260808154421_add_model_credentials	2026-09-15 07:40:23.216	2026-09-15 07:40:23.237
20260809161243_add_channel_attachment_reset	2026-09-15 07:40:23.239	2026-09-15 07:40:23.342
20260810000000_add_agent_ack_message	2026-09-15 07:40:23.345	2026-09-15 07:40:23.383
20260811090000_credential_ref_text	2026-09-15 07:40:23.384	2026-09-15 07:40:23.422
20260812032006_git_repo_credentials	2026-09-15 07:40:23.425	2026-09-15 07:40:23.472
20260812085848_agent_questions	2026-09-15 07:40:23.473	2026-09-15 07:40:23.500
20260813085208_issue_management	2026-09-15 07:40:23.503	2026-09-15 07:40:23.887
20260813120000_agent_prompt_text	2026-09-15 07:40:23.890	2026-09-15 07:40:24.004
20260813130000_role_instance_separation	2026-09-15 07:40:24.020	2026-09-15 07:40:24.986
20260814090000_issue_reject_activities	2026-09-15 07:40:24.989	2026-09-15 07:40:25.091
20260814120000_task_managed_mode	2026-09-15 07:40:25.092	2026-09-15 07:40:25.127
20260814150000_agent_work_dir	2026-09-15 07:40:25.129	2026-09-15 07:40:25.165
20260814150000_text_columns	2026-09-15 07:40:25.166	2026-09-15 07:40:25.329
20260815150204_memories	2026-09-15 07:40:25.331	2026-09-15 07:40:25.423
20260816013314_team_collaboration_plans	2026-09-15 07:40:25.425	2026-09-15 07:40:25.614
20260820140000_add_memory_description	2026-09-15 07:40:25.616	2026-09-15 07:40:25.650
20260821090000_add_model_local_fields	2026-09-15 07:40:25.652	2026-09-15 07:40:25.709
20260822000000_add_task_agent_enabled	2026-09-15 07:40:25.711	2026-09-15 07:40:25.744
20260822120000_repo_credential_separation	2026-09-15 07:40:25.746	2026-09-15 07:40:25.813
20260824000000_add_plan_reject_count	2026-09-15 07:40:25.815	2026-09-15 07:40:25.846
20260824000001_add_execution_policy	2026-09-15 07:40:25.848	2026-09-15 07:40:25.903
20260825000000_add_taskagent_override_model	2026-09-15 07:40:25.905	2026-09-15 07:40:25.936
20260826000000_add_memory_source_session	2026-09-15 07:40:25.938	2026-09-15 07:40:26.139
