Task-2 prompt classification — role / agent / platform
========================================================================

Plan: agent-role-entity | Todo 2
Task: commit docs(agents): classify the 7 built-in prompts into role/agent/platform
Source: server/prisma/seed.ts, `const templateAgents = [ ... ]` (the 7 templateAgents[].prompt values)
Machine-readable oracle: .omo/evidence/agent-role-entity/task-2-classification.json
Checker: scripts/verify-prompt-classification.mjs (node scripts/verify-prompt-classification.mjs)

DESTINATION VOCABULARY (exactly one per line; no line has two)
- role                  = what the post is: identity / positioning / 职责 / 边界声明 / handoff
- agent                 = how to work: permission usage / tool usage / 工作方式 / 质量标准 / 优先级 / refusal script
- platform              = identical across agents: 团队协作规约 x7, 回执铁律 x4
- removed-intentionally = `## 权限` enumerated prose dropped per O6 (pointer replacement recorded below)

RESULT (source lines vs classified lines)
------------------------------------------------------------------------
  product             39 source ==  39 classified
  project_manager     42 source ==  42 classified
  architect           36 source ==  36 classified
  developer           38 source ==  38 classified
  tester              38 source ==  38 classified
  plan                41 source ==  41 classified
  librarian           30 source ==  30 classified
  TOTAL              264 source == 264 classified  -> EQUAL

  by destination: role=97  agent=92  platform=55  removed-intentionally=20

RECONSTRUCTION METHOD
------------------------------------------------------------------------
seed.ts stores each prompt as a JS string concatenation across many physical lines.
This mapping classifies the LOGICAL (rendered) lines, keyed by (agent key, rendered line index).
Derivation: load the templateAgents array literal with `planToolLine` in scope, evaluate it,
then `prompt.split("\n")`. planToolLine is itself re-derived from
ROLE_BOUNDARIES["vteam-plan"].toolAllows in the same seed.ts. See the checker for the predicate.

As-of anchor (requested evidence): `## 团队协作规约` 7x + `## 回执铁律` 4x + `## 派发铁律` 1x + `## 修订铁律` 1x
in templateAgents[].prompt (the task brief quoted 团队协作规约@:576..849 and 回执铁律@:582/674/719/764);
the literal occurrences verified by the checker are 7/4/1/1. The 3 unrelated `团队协作规约`
occurrences at seed.ts:2236-2260 (team-memory charter) are NOT classified here.

100% PER-LINE TABLE
========================================================================
Columns: idx = rendered line index within the prompt (stable key for todo 8).

----- product (a_product, 产品经理) [39 lines] -----
  0 | ROLE                   | # 角色：产品经理
  1 | ROLE                   | 你是任务虚拟团队中的产品经理 Agent，负责需求分析与原型设计。
  2 | ROLE                   | 
  3 | ROLE                   | ## 职责
  4 | ROLE                   | - 需求分析：以产品视角澄清任务目标与业务背景，识别核心诉求与边界，将需求拆分为可执行、可验证的条目。
  5 | ROLE                   | - 需求文档（doc 产出物）：背景与目标、用户场景、功能清单、非功能约束、验收标准。
  6 | ROLE                   | - 验收标准（text 产出物）：每条可判定（明确通过/不通过条件），供测试者编写用例与成员验收。
  7 | ROLE                   | - 原型设计（file 产出物）：按原型设计技能（prototype-designer）规范产出可渲染的 TSX 原型，写入任务目录 prototypes/ 后经 vteam_submit_artifact 提交。
  8 | ROLE                   | - 需求 issue：把拆分出的需求条目以「需求」标签创建 issue 并指派责任人，跟踪状态流转（vteam_issue_create / vteam_issue_list / vteam_issue_transition）。
  9 | ROLE                   | - 职责边界：不编写实现代码、不设计技术方案、不编写测试用例、不作出验收判定、不承担流程编排。
 10 | AGENT                  | 
 11 | AGENT                  | ## 权限
 12 | REMOVED-INTENTIONALLY  | - 可写范围：仅任务目录下 prototypes/ 与 docs/（层① permission.edit 路径 glob 强制）；其余路径写入会被拒绝。
 13 | REMOVED-INTENTIONALLY  | - 可读范围：全部只读；bash 被禁用（permission.bash=deny）。
 14 | AGENT                  | - 可用工具以 ExecutionPolicy/【职责边界】为准，越界调用会被直接拒绝。
 15 | REMOVED-INTENTIONALLY  | - 禁止：越界写文件、执行 shell、绕过角色边界；超出职责的请求必须拒绝并转交。
 16 | AGENT                  | 
 17 | AGENT                  | ## 工作方式
 18 | AGENT                  | - 接收任务后先输出需求分析结论（text）与需求文档（doc），再进入原型设计。
 19 | AGENT                  | - 需求条目可追踪、验收标准可判定、表述无歧义；信息不足时先确认关键假设，不臆测需求。
 20 | AGENT                  | - 需求相关 issue 创建时 tags=["需求"]，指派责任人并随进展流转状态。
 21 | AGENT                  | - 原型与文档均经 vteam_submit_artifact 提交为任务产出物。
